ID,Age,Gender,Age_days,OCDI_2_10,Vgrp,PropS,PropM,data
17ENNGxx078G,17,G,545,6,Low,0.5,0.5,ENNG
17ENNGxx124G,17,G,542,10,Low,0.6875,0.3125,ENNG
18ENNGxx089G,18,G,558,1,Low,0.8125,0.1875,ENNG
18ENNGxx105B,18,B,569,26,Low,0.6,0.4,ENNG
18ENNGxx108B,18,B,541,4,Low,0.3333333333333333,0.6666666666666666,ENNG
18ENNGxx125G,18,G,568,39,Low,0.7333333333333333,0.26666666666666666,ENNG
18ENNGxx126G,18,G,549,31,Low,0.625,0.375,ENNG
19ENNGxx079G,19,G,604,123,High,0.5384615384615384,0.46153846153846156,ENNG
19ENNGxx080B,19,B,588,22,Low,0.4666666666666667,0.5333333333333333,ENNG
19ENNGxx081B,19,B,605,81,Low,0.5,0.5,ENNG
19ENNGxx083G,19,G,593,115,High,0.7333333333333333,0.26666666666666666,ENNG
19ENNGxx087B,19,B,602,2,Low,0.75,0.25,ENNG
19ENNGxx097B,19,B,591,122,High,0.7777777777777778,0.2222222222222222,ENNG
19ENNGxx100B,19,B,581,40,Low,0.5,0.5,ENNG
19ENNGxx117G,19,G,605,19,Low,0.7142857142857143,0.2857142857142857,ENNG
19ENNGxx119G,19,G,581,14,Low,0.6666666666666666,0.3333333333333333,ENNG
19ENNGxx121G,19,G,592,32,Low,0.7857142857142857,0.21428571428571427,ENNG
19ENNGxx122G,19,G,581,0,Low,0.6666666666666666,0.3333333333333333,ENNG
19ENNGxx134G,19,G,605,142,High,0.6153846153846154,0.38461538461538464,ENNG
20ENNGXX040B,20,B,633,59,Low,0.4,0.6,ENNG
20ENNGXX046G,20,G,637,169,High,0.9375,0.0625,ENNG
20ENNGxx062B,20,B,616,34,Low,0.625,0.375,ENNG
20ENNGxx073B,20,B,613,31,Low,0.7272727272727273,0.2727272727272727,ENNG
20ENNGxx092G,20,G,613,41,Low,0.4375,0.5625,ENNG
21ENNGXX058G,21,G,667,114,High,0.5,0.5,ENNG
21ENNGXX064B,21,B,642,38,Low,0.6875,0.3125,ENNG
21ENNGxx061G,21,G,658,55,Low,0.6875,0.3125,ENNG
21ENNGxx065G,21,G,646,136,High,0.4375,0.5625,ENNG
22ENNGxx066B,22,B,671,110,High,0.7272727272727273,0.2727272727272727,ENNG
22ENNGxx072G,22,G,686,185,High,0.6666666666666666,0.3333333333333333,ENNG
23ENNGxx059B,23,B,719,0,Low,0.9375,0.0625,ENNG
23ENNGxx067G,23,G,701,79,Low,0.4666666666666667,0.5333333333333333,ENNG
23ENNGxx068G,23,G,701,79,Low,0.3333333333333333,0.6666666666666666,ENNG
23ENNGxx069B,23,B,724,158,High,1,0,ENNG
23ENNGxx131G,23,G,713,127,High,0.4375,0.5625,ENNG
24ENNGXX130G,24,G,713,135,High,0.75,0.25,ENNG
24ENNGxx036B,24,B,761,146,High,0.9333333333333333,0.06666666666666667,ENNG
24ENNGxx051G,24,G,740,171,High,0.8125,0.1875,ENNG
25ENNGXX034G,25,G,786,174,High,0.875,0.125,ENNG
25ENNGXX037B,25,B,785,176,High,0.7333333333333333,0.26666666666666666,ENNG
25ENNGXX044B,25,B,769,151,High,0.875,0.125,ENNG
25ENNGxx055G,25,G,780,180,High,0.9375,0.0625,ENNG
25ENNGxx070G,25,G,773,182,High,0.75,0.25,ENNG
26ENNGXX039B,26,B,808,190,High,0.5333333333333333,0.4666666666666667,ENNG
26ENNGXX043B,26,B,801,178,High,1,0,ENNG
26ENNGxx048B,26,B,809,151,High,0.8125,0.1875,ENNG
26ENNGxx049B,26,B,806,58,Low,1,0,ENNG
26ENNGxx050G,26,G,806,151,High,0.5333333333333333,0.4666666666666667,ENNG
27ENNGXX029G,27,G,790,162,High,0.375,0.625,ENNG
27ENNGXX032B,27,B,828,182,High,0.8125,0.1875,ENNG
27ENNGxx027B,27,B,827,188,High,0.6875,0.3125,ENNG
27ENNGxx028B,27,B,838,171,High,0.625,0.375,ENNG
27ENNGxx057G,27,G,841,189,High,0.4375,0.5625,ENNG
28ENNGxx060B,28,B,872,158,High,0.5333333333333333,0.4666666666666667,ENNG
29ENNGxx074G,29,G,919,12,Low,0.625,0.375,ENNG
29ENNGxx075,29,G,906,184,High,0.6875,0.3125,ENNG
30ENNGxx056G,30,G,914,169,High,0.875,0.125,ENNG
31ENNGxx086B,31,B,956,189,High,1,0,ENNG
