ID,Gender,OCDI_2_10,Novel_Object_Order,Age,Age_days
17ENNGxx078G,G,6,FKZM,17,545
17ENNGxx124G,G,10,MFZK,17,542
18ENNGxx105B,B,26,FZKM,18,569
18ENNGxx125G,G,39,FMKZ,18,568
18ENNGxx089G,G,1,FKZM,18,558
18ENNGxx108B,B,4,FKMZ,18,541
18ENNGxx126G,G,31,FKZM,18,549
19ENNGxx079G,G,123,MKZF,19,604
19ENNGxx080B,B,22,FMZK,19,588
19ENNGxx081B,B,81,KFMZ,19,605
19ENNGxx083G,G,115,MFKZ,19,593
19ENNGxx087B,B,2,MZFK,19,602
19ENNGxx097B,B,122,ZFMK,19,591
19ENNGxx100B,B,40,ZFKM,19,581
19ENNGxx117G,G,19,ZMFK,19,605
19ENNGxx119G,G,14,ZFMK,19,581
19ENNGxx121G,G,32,MKFZ,19,592
19ENNGxx122G,G,0,ZMKF,19,581
19ENNGxx134G,G,142,KZFM,19,605
20ENNGXX040B,B,59,FMZK,20,633
20ENNGXX046G,G,169,KZMF,20,637
20ENNGxx062B,B,34,KZMF,20,616
20ENNGxx073B,B,31,ZMKF,20,613
20ENNGxx092G,G,41,ZMKF,20,613
21ENNGXX058G,G,114,ZKFM,21,667
21ENNGxx061G,G,55,FMKZ,21,658
21ENNGXX064B,B,38,ZFMK,21,642
21ENNGxx065G,G,136,MZFK,21,646
22ENNGxx066B,B,110,MFKZ,22,671
22ENNGxx072G,G,185,ZMKF,22,686
23ENNGxx059B,B,0,KFZM,23,719
23ENNGxx067G,G,79,KZFM,23,701
23ENNGxx068G,G,79,KMFZ,23,701
23ENNGxx069B,B,158,MZKF,23,724
23ENNGxx131G,G,127,MFKZ,23,713
24ENNGxx036B,B,146,FKMZ,24,761
24ENNGxx051G,G,171,ZMKF,24,740
24ENNGXX130G,G,135,MFZK,24,713
25ENNGXX034G,G,174,MFKZ,25,786
25ENNGXX037B,B,176,KFZM,25,785
25ENNGXX044B,B,151,KMFZ,25,769
25ENNGxx055G,G,180,FZKM,25,780
25ENNGxx070G,G,182,MKFZ,25,773
26ENNGXX039B,B,190,KZFM,26,808
26ENNGXX043B,B,178,MKFZ,26,801
26ENNGxx048B,B,151,MZKF,26,809
26ENNGxx049B,B,58,ZMKF,26,806
26ENNGxx050G,G,151,FMZK,26,806
27ENNGxx027B,B,188,FKZM,27,827
27ENNGxx028B,B,171,MKZF,27,838
27ENNGXX029G,G,162,FMKZ,27,790
27ENNGXX032B,B,182,KFMZ,27,828
27ENNGxx057G,G,189,KZMF,27,841
28ENNGxx060B,B,158,MKZF,28,872
29ENNGxx074G,G,12,ZKMF,29,919
29ENNGxx075,G,184,ZMFK,29,906
30ENNGxx056G,G,169,MFZK,30,914
31ENNGxx086B,B,189,ZMFK,31,956
